Time(minutes) NodeBegin NodeEnd NrOfCars
1 106 32892133 33629009 22
1 107 33629009 32892133 33
1 107 32892133 255443820 33
1 107 255443820 32892629 33
1 107 32892629 32892134 33
1 107 32892134 255304602 34
1 107 255304602 32892136 46
1 107 32892136 32892135 46
1 108 33629009 46852299 20
1 108 46852299 32892130 25
1 108 32892130 32892129 25
1 108 32892129 32892128 25
1 109 32892128 32892129 10
1 109 32892129 32892130 15
1 109 32892130 46852299 18
1 109 46852299 33629009 25
1 110 31960182 27166988 40
1 110 27166988 27166986 45
1 110 27166986 35988346 46
1 110 35988346 31960183 50
1 110 31960183 35988349 48
1 110 35988349 27166983 49
1 111 32049278 35988348 27
1 111 35988348 32049276 27
1 111 32049276 35988345 29
1 111 35988345 32049275 30
1 111 32049275 32049273 27
1 111 32049273 32049271 28
1 111 32049271 35207199 33
1 112 35207199 35207215 13
1 112 35207215 39970958 5
1 112 39970958 39971093 1
1 112 39971093 32892126 3
1 112 32892126 32892128 11
1 113 255443778 33124285 2
1 113 33124285 32892132 2
1 113 32892132 32892127 2
1 114 32892127 32892132 6
1 114 32892132 33124285 5
1 114 33124285 255443778 5
1 115 26485624 32628655 18
1 115 32628655 32892119 18
1 115 32892119 32892120 19
1 116 32892120 32892119 2
1 116 32892119 32628655 2
1 116 32628655 26485624 2
1 117 32892120 32892121 20
1 117 32892121 35207198 20
1 118 35207198 32892121 3
1 118 32892121 32892120 3
1 120 32892127 34551129 2
1 120 34551129 255582548 25
1 120 255582548 35210227 18
1 120 35210227 39971027 12
1 120 39971027 32892126 8
1 121 39970973 32892131 25
1 121 32892131 35210229 25
1 121 35210229 32892408 7
1 121 32892408 32892127 7
1 121 32892127 34551129 0
1 122 35207198 35207197 23
1 122 35207197 35207195 23
1 122 35207195 35207204 22
1 122 35207204 35207194 25
1 122 35207194 35207202 26
1 123 32892123 32892122 18
1 123 32892122 35213270 8
1 123 35213270 35207198 5
1 124 35966965 251854435 35
1 125 251854435 252343943 40
1 125 252343943 28396132 47
1 125 28396132 28396133 48
1 125 28396133 32529958 16
1 126 32529963 32552944 36
1 126 32552944 32529941 38
1 126 32529941 32529942 38
1 126 32529942 252344853 42
1 126 252344853 32529943 47
1 126 32529943 251881604 52
1 126 251881604 32333998 52
1 127 32333998 33629032 54
1 128 31917333 31917334 18
1 128 31917334 32607802 18
1 128 32607802 31917336 19
1 128 31917336 31917337 18
1 128 31917337 31917338 18
1 128 31917338 31917339 18
1 128 31917339 32329830 18
1 129 32329829 27167016 20
1 129 27167016 27167014 20
1 129 27167014 254451733 21
1 129 254451733 27167012 29
1 129 27167012 27167010 30
1 129 27167010 27167008 30
1 129 27167008 27167006 30
1 130 32329830 32048667 9
1 130 32048667 32606515 10
1 130 32606515 32329833 1
1 131 32329833 255309064 22
1 131 255309064 32329834 23
1 131 32329834 32329835 23
1 131 32329835 32572891 23
1 131 32572891 32329836 20
1 131 32329836 32594456 21
1 131 32594456 32594485 21
1 132 32594485 32594458 25
1 132 32594458 32594460 13
1 132 32594460 32594638 8
1 133 32594639 248664604 15
1 133 248664604 30902337 17
1 133 30902337 30902336 9
1 133 30902336 30902334 10
1 133 30902334 54094223 10
1 133 54094223 32572890 9
1 134 32572890 255309065 2
1 134 255309065 30901480 0
1 134 30901480 248457778 1
1 134 248457778 32606514 13
1 134 32606514 104994357 13
1 134 104994357 32048673 13
1 134 32048673 30901479 0
1 135 32329830 31917340 21
1 135 31917340 31917342 22
1 135 31917342 30901479 22
1 136 30902333 27167021 26
1 136 27167021 27167018 27
1 136 27167018 32329829 27
1 137 32329828 32573084 45
1 137 32573084 32329832 13
1 137 32329832 32329829 2
1 138 30902333 248591685 13
1 138 248591685 248591686 14
1 138 248591686 32573085 15
1 138 32573085 32329841 16
1 139 213959073 32049237 68
1 139 32049237 32049238 68
1 139 32049238 32329827 61
1 139 32329827 32329828 41
1 140 32329841 30901477 16
1 140 30901477 30901474 17
1 140 30901474 30901471 17
1 140 30901471 213959230 19
1 141 33124278 33124279 7
1 141 33124279 32597389 29
1 142 32597389 33124279 8
1 142 33124279 33124278 17
1 143 33124278 33124276 15
1 143 33124276 207628356 16
1 143 207628356 33124256 21
1 144 33124257 101624814 11
1 144 101624814 33124277 8
1 144 33124277 33124278 8
1 145 60863503 32594644 36
1 145 32594644 32598954 0
1 146 32594633 32594643 48
1 146 32594643 60863511 49
1 146 60863511 60863503 28
1 147 32598953 30902341 40
1 147 30902341 60863504 56
1 148 60863504 30902339 11
1 148 30902339 32594632 5
1 149 152568044 30902342 15
1 149 30902342 32214711 15
1 149 32214711 33124274 64
1 149 33124274 33124254 62
1 150 33124255 33124265 15
1 150 33124265 33124267 13
1 150 33124267 33124268 13
1 150 33124268 105711879 14
1 150 105711879 83532281 13
1 150 83532281 83532246 13
1 150 83532246 83066123 19
1 150 83066123 169137894 30
1 150 169137894 81470439 1
1 151 251283573 83051316 2
1 151 83051316 169137890 11
1 151 169137890 152568044 12
1 152 81470439 252406516 5
1 152 252406516 84843008 5
1 152 84843008 34814886 5
1 153 34814889 30902345 4
1 153 30902345 84842969 4
1 153 84842969 251283573 0
1 154 34814535 34814891 46
1 154 34814891 34814889 1
1 155 34814886 34814885 5
1 155 34814885 252406663 5
1 155 252406663 34815611 0
1 156 34814535 34814534 2
1 156 34814534 31156733 2
1 156 31156733 31156731 2
1 156 31156731 31156730 4
1 156 31156730 252406781 4
1 157 31156738 252406035 77
1 157 252406035 251283171 78
1 157 251283171 252406039 74
1 157 252406039 31156736 75
1 157 31156736 252406111 73
1 157 252406111 31156735 71
1 157 31156735 252406411 66
1 157 252406411 34814535 63
1 158 34814536 252406293 55
1 158 252406293 27167156 52
1 158 27167156 27167155 50
1 158 27167155 120333637 50
1 158 120333637 252406043 52
1 158 252406043 252406036 51
1 158 252406036 251283172 48
1 158 251283172 27167154 46
1 159 252406787 31156664 17
1 159 31156664 31156666 17
1 159 31156666 252406520 18
1 159 252406520 27167157 17
1 159 27167157 34814536 17
1 160 34814888 34814890 45
1 160 34814890 34814536 44
1 161 34815610 34814884 8
1 161 34814884 34814887 0
1 162 34814883 34815608 2
1 163 31156740 31156738 78
1 164 27167154 33210615 14
1 165 32594631 32553381 7
1 165 32553381 54094219 7
1 165 54094219 251281806 15
1 165 251281806 251281807 6
1 165 251281807 251281808 7
1 166 251281808 251281807 0
1 166 251281807 251281806 0
1 166 251281806 253169449 9
1 166 253169449 201830779 10
1 166 201830779 32553132 9
1 166 32553132 32553133 2
1 167 31156743 31156741 26
1 167 31156741 27167173 29
1 167 27167173 253169053 30
1 167 253169053 252416945 31
1 167 252416945 27167122 31
1 168 251281859 32572888 28
1 168 32572888 54094188 30
1 168 54094188 32572887 35
1 168 32572887 54094199 38
1 168 54094199 32572886 36
1 168 32572886 54094215 39
1 168 54094215 32572885 41
1 169 32594640 32572884 8
1 169 32572884 54094244 8
1 169 54094244 54094212 4
1 169 54094212 32572885 1
1 170 32594646 54094226 43
1 170 54094226 32594645 50
1 170 32594645 32594637 50
1 180 32572885 54094195 2
1 180 54094195 54094192 2
1 180 54094192 54698906 12
1 181 54698906 32329855 11
1 181 32329855 32329850 12
1 182 32329850 32329853 4
1 182 32329853 32329854 4
1 182 32329854 32329857 3
1 182 32329857 31156751 1
1 183 31156751 31156750 8
1 183 31156750 31156748 0
1 183 31156748 31156746 13
1 183 31156746 32600369 14
1 184 27167068 27167066 10
1 184 27167066 27167064 11
1 184 27167064 253169142 10
1 184 253169142 27167059 1
1 184 27167059 27167053 1
1 185 27167053 27167051 30
1 185 27167051 27167048 23
1 185 27167048 27167046 9
1 185 27167046 27167044 1
1 186 27167073 27167072 30
1 186 27167072 27167071 31
1 186 27167071 27167068 30
1 171 32329851 32329856 25
1 171 32329856 54094053 26
1 171 54094053 33207656 24
1 172 33207656 33207680 27
1 172 33207680 54094051 28
1 172 54094051 33207659 28
1 172 33207659 54091476 28
1 172 54091476 33207672 35
1 172 33207672 255309067 31
1 172 255309067 259544759 31
1 172 259544759 33207653 34
1 173 33207653 32594646 1
1 174 32594646 54094231 2
1 174 54094231 54093744 3
1 174 54093744 54094110 3
1 174 54094110 32572890 2
1 175 32572890 54094110 3
1 175 54094110 54093744 3
1 175 54093744 54094231 3
1 175 54094231 32594646 2
1 176 30901479 32329842 2
1 176 32329842 32329843 3
