Time(minutes) Node
360 32553378_32572229
360 32915592_32572229
360 32915584_32572230
360 32915591_32572231
360 105757851_32572231
360 32528263_32572234
360 32572233_32572234
360 254515314_32572234
360 32528262_32572235
360 254515314_32572235
360 32572264_32572235
360 255152631_32572237
360 32572237_32572238
360 32572238_32572239
360 32572239_32572240
360 254515312_32572240
360 32572240_32572241
360 32917757_32572248
360 32572257_32572258
360 32572258_32572259
360 32572259_32572260
360 32572240_32572260
360 32915600_32572261
360 254515311_32572261
360 32915597_32572262
360 32572262_32572263
360 32572263_32572264
360 54094212_32572885
360 54094215_32572885
360 32594646_32572885
360 32572891_32572890
360 32329828_32573084
360 32329836_32594456
360 32594485_32594458
360 32594458_32594460
360 32594456_32594485
360 30902337_32594485
360 32594632_32594631
360 254518081_32594632
360 30902339_32594632
360 32594634_32594633
360 32553382_32594634
360 253169521_32594634
360 32594638_32594635
360 32594645_32594637
360 254515306_32594637
360 32594460_32594638
360 32594637_32594639
360 32594631_32594640
360 54094226_32594645
360 33207653_32594646
360 54094231_32594646
360 32572885_32594646
360 259565809_32596163
360 32553130_32596164
360 254515304_32596164
360 254515305_32596174
360 32596164_32596175
360 32596655_32596650
360 32596650_32596655
360 32596656_32596657
360 32572261_32596658
360 32596657_32596658
360 35966360_32597424
360 35966358_32597424
360 35966390_32597770
360 212894117_32597780
360 32597790_32597787
360 255152545_32597790
360 33124258_32598953
360 32594644_32598954
360 32598957_32598955
360 32598956_32598955
360 33124260_32598956
360 86970182_32598957
360 190467925_32598966
360 32912934_32598967
360 32598966_32598968
360 32599710_32599712
360 32597767_32599933
360 32599933_32599935
360 255152619_32599935
360 36309933_32599936
360 36309934_32599937
360 254518061_32599937
360 254518064_32599937
360 254518062_32599938
360 36311400_32599938
360 254518063_32599938
360 253045407_32599940
360 252340012_32599942
360 253169321_32600367
360 253169405_32600367
360 31156746_32600369
360 32601849_32601851
360 32049455_32601861
360 179695005_32601861
360 32601860_32601861
360 32049454_32601862
360 179695005_32601862
360 32605055_32605051
360 32605051_32605053
360 252165596_32605053
360 252165593_32605054
360 253183042_32605062
360 31718225_32605070
360 32605071_32605070
360 252165598_32605071
360 252165597_32605072
360 252165617_32605072
360 32049235_32605672
360 32049219_32605676
360 32605675_32605676
360 248457778_32606514
360 32608588_32608587
360 27282289_32608588
360 32608590_32608588
360 27282294_32608589
360 32608587_32608589
360 32608589_32608590
360 251851449_32610173
360 35966359_32610173
360 36662878_32611538
360 251881721_32611546
360 256169560_32611549
360 256586722_32611556
360 251855382_32611558
360 251855378_32611558
360 32627809_32627804
360 26485616_32627805
360 43326553_32627806
360 26485616_32627809
360 32627806_32627809
360 32320990_32627810
360 43315699_32627817
360 32628647_32628643
360 26485625_32628649
360 255582542_32628653
360 32320979_32628656
360 255309040_32628966
360 38427871_32628967
360 38427872_32628968
360 38427870_32628969
360 38427863_32628970
360 38427873_32628971
360 32629254_32629253
360 32629264_32629259
360 255309038_32629259
360 32628973_32629262
360 179870584_32629262
360 32629262_32629263
360 32629263_32629264
360 246806023_32629354
360 32629354_32629356
360 32629356_32629357
360 32915594_32629357
360 32915583_32629359
360 32553124_32629360
360 254515307_32629360
360 254531447_32629963
360 32629966_32629964
360 252339952_32629966
360 252343355_32629986
360 32629986_32629987
360 252343101_32629988
360 32675469_32675470
360 32675499_32675500
360 32675828_32675830
360 32675830_32675832
360 32675832_32675834
360 32675834_32675837
360 32675837_32675839
360 32675839_32675841
360 251962144_32675842
360 32675842_32675843
360 32675841_32675843
360 32675853_32675846
360 32675845_32675847
360 251949278_32676745
360 32676760_32676758
360 254021607_32676759
360 254722234_32676760
360 32676771_32676774
360 26405557_32676775
360 32676779_32676776
360 32676758_32676776
360 32676776_32676777
360 26485608_32676777
360 32676745_32676778
360 32676777_32676778
360 29169101_32676779
360 32676778_32676779
360 32676791_32676794
360 251959913_32676795
360 251961050_32676797
360 33311874_32677862
360 32677863_32677862
360 31897833_32677863
360 32677862_32677863
360 27166883_32689179
360 32690970_32690965
360 31156927_32690966
360 31156929_32690968
360 32690967_32690968
360 32690968_32690969
360 32690969_32690970
360 254379753_32828371
360 32828372_32828371
360 26118685_32828372
360 32828371_32828372
360 34166938_32828374
360 32828376_32828374
360 31803625_32889657
360 33628982_32889657
360 31803743_32889658
360 32320951_32889659
360 32889660_32889659
360 32320971_32889660
360 32889659_32889660
360 39971027_32892126
360 39971093_32892126
360 32892129_32892128
360 32892126_32892128
360 35207205_32892131
360 32892144_32892143
360 254515317_32892144
360 32553380_32892144
360 32892148_32892147
360 32892150_32892148
360 32892152_32892149
360 248564726_32892150
360 38427859_32892151
360 254515316_32892152
360 32892154_32892153
360 32892143_32892154
360 32892160_32892156
360 255304622_32892157
360 248200332_32892160
360 32892177_32892162
360 32528266_32892162
360 254515315_32892163
360 32553377_32892164
360 254515315_32892164
360 32528265_32892177
360 32892162_32892177
360 33125170_32892181
360 32892209_32892185
360 32892210_32892185
360 32021985_32892231
360 32892123_32892408
360 255443820_32892629
360 32528884_32893459
360 32909728_32909729
360 88085389_32909811
360 32912994_32912944
360 32912975_32912951
360 32912987_32912994
360 254518072_32913095
360 32913071_32913095
360 31158786_32913098
360 254518075_32913098
360 31158787_32913100
360 32572231_32915583
360 32629357_32915584
360 32915587_32915585
360 32572229_32915586
360 32915593_32915587
360 32572236_32915587
360 32915586_32915588
360 32572228_32915591
360 32572230_32915592
360 32915588_32915593
360 32629359_32915594
360 32572261_32915597
360 32596658_32915597
360 34520352_32915600
360 32572252_32917756
360 32917757_32917756
360 32572247_32917757
360 32917756_32917757
360 32572248_32917758
360 251880515_32920672
360 251880568_32920678
360 34461424_32920686
360 32049390_32922337
360 32922337_32922345
360 33124255_33124254
360 33124274_33124254
360 33124259_33124255
360 207628356_33124256
360 33124261_33124257
360 33124254_33124258
360 32598955_33124259
360 33124256_33124260
360 32598954_33124261
360 255443778_33124280
360 33124282_33124280
360 33124280_33124282
360 33124284_33124282
360 33692330_33124284
360 33124963_33124966
360 33124969_33124973
360 253963721_33124973
360 254504891_33124973
360 33124991_33124985
360 32913100_33124994
360 212881000_33124995
360 33124996_33124997
360 253967661_33124997
360 254504891_33124997
360 33124998_33124999
360 254504894_33125001
360 33125000_33125001
360 32892180_33125170
360 32320938_33199595
360 32320936_33199597
360 32320937_33199597
360 259544759_33207653
360 255309070_33207656
360 54094051_33207659
360 54091476_33207672
360 27167154_33210615
360 30895909_33210617
360 33234551_33234552
360 33234562_33234561
360 33234552_33234563
360 33810529_33234566
360 33234568_33234567
360 33234567_33234568
360 26118695_33242035
360 31917348_33242040
360 31897831_33242043
360 31917350_33242046
360 255931126_33252606
360 252339112_33252648
360 251959570_33258534
360 251959497_33258534
360 31718227_33311863
360 26118478_33391583
360 26118479_33391584
360 31803738_33628954
360 32889658_33628982
360 32889657_33628982
360 32320950_33628997
360 32627811_33629002
360 33694131_33694130
360 33694130_33694131
360 26195390_33703087
360 31928710_33703088
360 26308849_33739743
360 31803717_33810227
360 31803710_33810529
360 33234566_33810532
360 26485627_33958338
360 34453143_34453133
360 34453150_34453133
360 34461426_34461424
360 59978724_34461453
360 254531379_34461497
360 34461511_34461510
360 34461453_34461510
360 34461513_34461511
360 27166898_34461537
360 254518016_34465646
360 254518017_34465646
360 59978708_34465650
360 34465653_34465652
360 34465667_34465656
360 254518012_34465659
360 248207234_34465659
360 31897841_34469776
360 34520353_34520352
360 34972118_34520358
360 254518066_34520362
360 254518069_34520362
360 254518069_34520363
360 34520373_34520363
360 34520372_34520373
360 32528257_34520513
360 32553122_34520514
360 248460731_34520514
360 36307592_34522485
360 251852560_34522515
360 251852558_34522515
360 254500303_34522638
360 254500305_34522639
360 254500300_34522641
360 254500301_34522642
360 254500298_34522644
360 34522651_34522644
360 254518054_34522645
360 36307570_34522651
360 36307567_34522651
360 36310193_34522654
360 34523708_34523707
360 34523709_34523708
360 34523710_34523709
360 254531208_34523713
360 253045057_34523740
360 254526161_34523946
360 254526107_34526958
360 254526092_34526958
360 254504918_34533172
360 254504869_34533190
360 254504868_34533192
360 34533192_34533194
360 34533194_34533196
360 31156415_34537440
360 34537440_34537441
360 206372470_34554490
360 206372468_34554491
360 216205657_34554509
360 34554509_34554510
360 34554508_34554512
360 252339441_34554514
360 34554514_34554515
360 252339443_34554516
360 252339454_34554517
360 252339455_34554519
360 34554515_34554520
360 252339505_34554521
360 252339235_34554524
360 34675228_34555063
360 261213357_34555066
360 261239296_34555067
360 31156351_34555067
360 261212913_34555068
360 261239304_34555068
360 252342147_34555548
360 38454254_34555550
360 38454253_34555552
360 252342427_34555645
360 252342384_34555645
360 34555645_34555647
360 31158753_34555647
360 252341855_34555652
360 34556053_34556051
360 252342706_34556053
360 261179172_34556056
360 35969460_34556304
360 34556302_34556304
360 34556303_34556305
360 35969453_34556305
360 34557672_34557670
360 27282386_34557672
360 34557670_34557672
360 261212962_34675202
360 34675216_34675214
360 34675237_34675216
360 261212885_34675219
360 31156480_34675233
360 261213016_34675234
360 34675234_34675235
360 96657872_34675237
360 34676550_34676551
360 34676553_34676552
360 252407029_34677996
360 261045414_34677996
360 34678019_34677997
360 252407139_34677999
360 261063095_34678003
360 152740558_34678004
360 31156727_34678012
360 252407667_34678017
360 34678020_34678019
360 252407262_34678020
360 249313828_34678021
360 34696729_34696732
360 34696739_34696736
360 89134846_34696737
360 34819772_34696742
360 34813954_34813423
360 33252662_34813423
360 252339902_34813954
360 34813955_34813954
360 33252662_34813955
360 34813957_34813955
360 34813954_34813955
360 34813958_34813957
360 34813959_34813958
360 34813956_34813958
360 34813960_34813959
360 252406411_34814535
360 252407734_34814883
360 84843008_34814886
360 34814889_34814886
360 34814886_34814887
360 34814884_34814887
360 27167160_34814888
360 34814891_34814889
360 34814535_34814891
360 34814887_34814892
360 34814892_34814893
360 34814893_34814894
360 34815619_34815606
360 34815614_34815607
360 252406779_34815608
360 34814883_34815608
360 34815616_34815609
360 34815615_34815610
360 252406663_34815611
360 34815713_34815612
360 34815617_34815613
360 34815624_34815619
360 35163854_34815624
360 34815613_34815712
360 255157654_34816510
360 32676778_34816529
360 251913108_34816530
360 31158851_34819772
360 34819774_34819773
360 34819783_34819781
360 261063285_34819784
360 218095740_34819979
360 34819981_34819980
360 34819982_34819981
360 34819983_34819982
360 34819985_34819984
360 34819986_34819985
360 34819987_34819986
360 30895908_34819986
360 27167184_34819987
360 35147450_35147444
360 35147452_35147446
360 35147444_35147446
360 35147446_35147448
360 35147448_35147450
360 35147456_35147450
360 27167082_35147452
360 35150300_35150290
360 35150290_35150292
360 253168169_35150297
360 253168051_35150300
360 253168740_35150315
360 30895848_35159207
360 35159208_35159207
360 246561643_35159208
360 35163858_35163854
360 35163865_35163858
360 35163865_35163863
360 35163875_35163865
360 27167175_35163869
360 35163863_35163874
360 35163869_35163875
360 35163874_35163875
360 35207204_35207194
360 35207197_35207195
360 35213270_35207198
360 32049271_35207199
360 35207194_35207202
360 35213260_35207202
360 35207195_35207204
360 35210226_35207205
360 35207208_35207207
360 35210232_35207208
360 35210223_35207209
360 35210225_35207211
360 35207199_35207215
360 35207211_35210223
360 35207212_35210225
360 35207207_35210226
360 255582548_35210227
360 35207209_35210232
360 35207202_35213251
360 35213267_35213264
360 35213265_35213264
360 198156325_35231818
360 32329920_35231822
360 27166991_35965555
360 32049266_35965556
360 35966359_35966358
360 32597424_35966358
360 32610173_35966359
360 251853929_35966360
360 251853516_35966360
360 32597424_35966361
360 35966363_35966362
360 35966366_35966363
360 35966368_35966364
